id,label
1,0.999971
10,0.011275
100,0.181490
1000,0.999993
10000,0.998629
10001,0.007859
10002,0.001385
10003,0.999993
10004,0.158154
10005,0.000907
10006,0.030610
10007,0.001838
10008,0.001565
10009,0.001833
1001,0.038706
10010,0.999787
10011,0.999851
10012,0.011778
10013,0.027349
10014,0.033615
10015,0.999591
10016,0.085975
10017,0.000107
10018,0.053369
10019,0.000104
1002,0.996751
10020,0.039286
10021,0.008073
10022,0.999819
10023,0.999805
10024,0.999999
10025,0.886932
10026,0.999926
10027,1.000000
10028,0.001077
10029,0.732693
1003,0.999999
10030,0.999716
10031,0.004418
10032,0.034731
10033,0.004550
10034,0.999402
10035,0.955715
10036,0.999126
10037,0.024231
10038,0.977513
10039,0.999993
1004,0.999992
10040,0.002026
10041,0.998502
10042,0.134348
10043,0.999993
10044,0.000140
10045,0.763002
10046,0.978816
10047,0.999982
10048,0.999968
10049,0.005213
1005,0.000193
10050,0.207383
10051,0.019507
10052,0.088579
10053,0.904655
10054,0.002264
10055,0.001506
10056,0.999983
10057,0.167143
10058,0.937971
10059,0.393521
1006,0.999996
10060,0.998874
10061,0.000691
10062,0.413022
10063,0.999628
10064,0.992345
10065,0.537802
10066,0.107508
10067,0.049767
10068,0.000787
10069,0.168297
1007,0.999964
10070,0.489709
10071,0.000119
10072,0.000323
10073,0.907932
10074,0.002057
10075,0.052879
10076,0.070315
10077,0.001084
10078,1.000000
10079,0.000669
1008,0.020919
10080,0.999932
10081,0.273230
10082,0.010004
10083,0.004112
10084,0.999997
10085,0.980283
10086,1.000000
10087,0.999759
10088,0.000119
10089,0.103635
1009,0.999994
10090,0.111422
10091,0.012459
10092,0.989229
10093,0.031238
10094,0.999214
10095,0.001572
10096,0.999995
10097,0.998648
10098,0.999987
10099,0.007069
101,0.128787
1010,0.999975
10100,0.208575
10101,0.999698
10102,0.298622
10103,0.001261
10104,0.999994
10105,0.995953
10106,0.003452
10107,0.880479
10108,0.999604
10109,0.000039
1011,0.006144
10110,0.959210
10111,0.335478
10112,0.000235
10113,0.999999
10114,0.001702
10115,0.008822
10116,0.999986
10117,0.006935
10118,0.118818
10119,0.617518
1012,0.993459
10120,0.016598
10121,0.021912
10122,0.039837
10123,0.383139
10124,0.999987
